"title";"value";"select.name"
"Add Shopping Cart";"AddShoppingCart";"portal.icon.select"
"Add Task";"AddTask";"portal.icon.select"
"Add To Drive";"AddToDrive";"portal.icon.select"
"Add To Home Screen";"AddToHomeScreen";"portal.icon.select"
"Add To Photos";"AddToPhotos";"portal.icon.select"
"Add To Queue";"AddToQueue";"portal.icon.select"
"Addchart";"Addchart";"portal.icon.select"
"Adf Scanner";"AdfScanner";"portal.icon.select"
"Adjust";"Adjust";"portal.icon.select"
"Admin Panel Settings";"AdminPanelSettings";"portal.icon.select"
"Ads Click";"AdsClick";"portal.icon.select"
"Agriculture";"Agriculture";"portal.icon.select"
"Air";"Air";"portal.icon.select"
"Airline Seat Flat";"AirlineSeatFlat";"portal.icon.select"
"Airline Seat Flat Angled";"AirlineSeatFlatAngled";"portal.icon.select"
"Airline Seat Individual Suite";"AirlineSeatIndividualSuite";"portal.icon.select"
"Airline Seat Legroom Extra";"AirlineSeatLegroomExtra";"portal.icon.select"
"Airline Seat Legroom Normal";"AirlineSeatLegroomNormal";"portal.icon.select"
"Airline Seat Legroom Reduced";"AirlineSeatLegroomReduced";"portal.icon.select"
"Airline Seat Recline Extra";"AirlineSeatReclineExtra";"portal.icon.select"
"Airline Seat Recline Normal";"AirlineSeatReclineNormal";"portal.icon.select"
"Airline Stops";"AirlineStops";"portal.icon.select"
"Airlines";"Airlines";"portal.icon.select"
"Airplane Ticket";"AirplaneTicket";"portal.icon.select"
"Airplanemode Active";"AirplanemodeActive";"portal.icon.select"
"Airplanemode Inactive";"AirplanemodeInactive";"portal.icon.select"
"Airplay";"Airplay";"portal.icon.select"
"Airport Shuttle";"AirportShuttle";"portal.icon.select"
"Alarm";"Alarm";"portal.icon.select"
"Alarm Add";"AlarmAdd";"portal.icon.select"
"Alarm Off";"AlarmOff";"portal.icon.select"
"Alarm On";"AlarmOn";"portal.icon.select"
"Album";"Album";"portal.icon.select"
"Align Horizontal Center";"AlignHorizontalCenter";"portal.icon.select"
"Align Horizontal Left";"AlignHorizontalLeft";"portal.icon.select"
"Align Horizontal Right";"AlignHorizontalRight";"portal.icon.select"
"Align Vertical Bottom";"AlignVerticalBottom";"portal.icon.select"
"Align Vertical Center";"AlignVerticalCenter";"portal.icon.select"
"Align Vertical Top";"AlignVerticalTop";"portal.icon.select"
"All Inbox";"AllInbox";"portal.icon.select"
"All Inclusive";"AllInclusive";"portal.icon.select"
"All Out";"AllOut";"portal.icon.select"
"Alt Route";"AltRoute";"portal.icon.select"
"Alternate Email";"AlternateEmail";"portal.icon.select"
"Amp Stories";"AmpStories";"portal.icon.select"
"Analytics";"Analytics";"portal.icon.select"
"Anchor";"Anchor";"portal.icon.select"
"Android";"Android";"portal.icon.select"
"Animation";"Animation";"portal.icon.select"
"Announcement";"Announcement";"portal.icon.select"
"Aod";"Aod";"portal.icon.select"
"Apartment";"Apartment";"portal.icon.select"
"Api";"Api";"portal.icon.select"
"App Blocking";"AppBlocking";"portal.icon.select"
"App Registration";"AppRegistration";"portal.icon.select"
"App Settings Alt";"AppSettingsAlt";"portal.icon.select"
"App Shortcut";"AppShortcut";"portal.icon.select"
"Approval";"Approval";"portal.icon.select"
"Apps";"Apps";"portal.icon.select"
"Apps Outage";"AppsOutage";"portal.icon.select"
"Architecture";"Architecture";"portal.icon.select"
"Archive";"Archive";"portal.icon.select"
"Area Chart";"AreaChart";"portal.icon.select"
"Arrow Back";"ArrowBack";"portal.icon.select"
"Arrow Back Ios";"ArrowBackIos";"portal.icon.select"
"Arrow Back Ios New";"ArrowBackIosNew";"portal.icon.select"
"Arrow Circle Down";"ArrowCircleDown";"portal.icon.select"
"Arrow Circle Left";"ArrowCircleLeft";"portal.icon.select"
"Arrow Circle Right";"ArrowCircleRight";"portal.icon.select"
"Arrow Circle Up";"ArrowCircleUp";"portal.icon.select"
"Arrow Downward";"ArrowDownward";"portal.icon.select"
"Arrow Drop Down";"ArrowDropDown";"portal.icon.select"
"Arrow Drop Down Circle";"ArrowDropDownCircle";"portal.icon.select"
"Arrow Drop Up";"ArrowDropUp";"portal.icon.select"
"Arrow Forward";"ArrowForward";"portal.icon.select"
"Arrow Forward Ios";"ArrowForwardIos";"portal.icon.select"
"Arrow Left";"ArrowLeft";"portal.icon.select"
"Arrow Outward";"ArrowOutward";"portal.icon.select"
"Arrow Right";"ArrowRight";"portal.icon.select"
"Arrow Right Alt";"ArrowRightAlt";"portal.icon.select"
"Arrow Upward";"ArrowUpward";"portal.icon.select"
"Art Track";"ArtTrack";"portal.icon.select"
"Article";"Article";"portal.icon.select"
"Aspect Ratio";"AspectRatio";"portal.icon.select"
"Assessment";"Assessment";"portal.icon.select"
"Assignment";"Assignment";"portal.icon.select"
"Assignment Add";"AssignmentAdd";"portal.icon.select"
"Assignment Ind";"AssignmentInd";"portal.icon.select"
"Assignment Late";"AssignmentLate";"portal.icon.select"
"Assignment Return";"AssignmentReturn";"portal.icon.select"
"Assignment Returned";"AssignmentReturned";"portal.icon.select"
"Assignment Turned In";"AssignmentTurnedIn";"portal.icon.select"
"Assist Walker";"AssistWalker";"portal.icon.select"
"Assistant";"Assistant";"portal.icon.select"
"Assistant Direction";"AssistantDirection";"portal.icon.select"
"Assistant Navigation";"AssistantNavigation";"portal.icon.select"
"Assistant Photo";"AssistantPhoto";"portal.icon.select"
"Assured Workload";"AssuredWorkload";"portal.icon.select"
"Atm";"Atm";"portal.icon.select"
"Attach Email";"AttachEmail";"portal.icon.select"
"Attach File";"AttachFile";"portal.icon.select"
"Attach Money";"AttachMoney";"portal.icon.select"
"Attachment";"Attachment";"portal.icon.select"
"Attractions";"Attractions";"portal.icon.select"
"Attribution";"Attribution";"portal.icon.select"
"Audio File";"AudioFile";"portal.icon.select"
"Audiotrack";"Audiotrack";"portal.icon.select"
"Auto Awesome";"AutoAwesome";"portal.icon.select"
"Auto Awesome Mosaic";"AutoAwesomeMosaic";"portal.icon.select"
"Auto Awesome Motion";"AutoAwesomeMotion";"portal.icon.select"
"Auto Delete";"AutoDelete";"portal.icon.select"
"Auto Fix High";"AutoFixHigh";"portal.icon.select"
"Auto Fix Normal";"AutoFixNormal";"portal.icon.select"
"Auto Fix Off";"AutoFixOff";"portal.icon.select"
"Auto Graph";"AutoGraph";"portal.icon.select"
"Auto Mode";"AutoMode";"portal.icon.select"
"Auto Stories";"AutoStories";"portal.icon.select"
"Autofps Select";"AutofpsSelect";"portal.icon.select"
"Autorenew";"Autorenew";"portal.icon.select"
"Av Timer";"AvTimer";"portal.icon.select"
"Baby Changing Station";"BabyChangingStation";"portal.icon.select"
"Back Hand";"BackHand";"portal.icon.select"
"Backpack";"Backpack";"portal.icon.select"
"Backspace";"Backspace";"portal.icon.select"
"Backup";"Backup";"portal.icon.select"
"Backup Table";"BackupTable";"portal.icon.select"
"Badge";"Badge";"portal.icon.select"
"Bakery Dining";"BakeryDining";"portal.icon.select"
"Balance";"Balance";"portal.icon.select"
"Balcony";"Balcony";"portal.icon.select"
"Ballot";"Ballot";"portal.icon.select"
"Bar Chart";"BarChart";"portal.icon.select"
"Barcode Reader";"BarcodeReader";"portal.icon.select"
"Batch Prediction";"BatchPrediction";"portal.icon.select"
"Bathroom";"Bathroom";"portal.icon.select"
"Bathtub";"Bathtub";"portal.icon.select"
"Battery0 Bar";"Battery0Bar";"portal.icon.select"
"Battery1 Bar";"Battery1Bar";"portal.icon.select"
"Battery20";"Battery20";"portal.icon.select"
"Battery2 Bar";"Battery2Bar";"portal.icon.select"
"Battery30";"Battery30";"portal.icon.select"
"Battery3 Bar";"Battery3Bar";"portal.icon.select"
"Battery4 Bar";"Battery4Bar";"portal.icon.select"
"Battery50";"Battery50";"portal.icon.select"
"Battery5 Bar";"Battery5Bar";"portal.icon.select"
"Battery60";"Battery60";"portal.icon.select"
"Battery6 Bar";"Battery6Bar";"portal.icon.select"
"Battery80";"Battery80";"portal.icon.select"
"Battery90";"Battery90";"portal.icon.select"
"Battery Alert";"BatteryAlert";"portal.icon.select"
"Battery Charging20";"BatteryCharging20";"portal.icon.select"
"Battery Charging30";"BatteryCharging30";"portal.icon.select"
"Battery Charging50";"BatteryCharging50";"portal.icon.select"
"Battery Charging60";"BatteryCharging60";"portal.icon.select"
"Battery Charging80";"BatteryCharging80";"portal.icon.select"
"Battery Charging90";"BatteryCharging90";"portal.icon.select"
"Battery Charging Full";"BatteryChargingFull";"portal.icon.select"
"Battery Full";"BatteryFull";"portal.icon.select"
"Battery Saver";"BatterySaver";"portal.icon.select"
"Battery Std";"BatteryStd";"portal.icon.select"
"Battery Unknown";"BatteryUnknown";"portal.icon.select"
"Beach Access";"BeachAccess";"portal.icon.select"
"Bed";"Bed";"portal.icon.select"
"Bedroom Baby";"BedroomBaby";"portal.icon.select"
"Bedroom Child";"BedroomChild";"portal.icon.select"
"Bedroom Parent";"BedroomParent";"portal.icon.select"
"Bedtime";"Bedtime";"portal.icon.select"
"Bedtime Off";"BedtimeOff";"portal.icon.select"
"Beenhere";"Beenhere";"portal.icon.select"
"Bento";"Bento";"portal.icon.select"
"Bike Scooter";"BikeScooter";"portal.icon.select"
"Biotech";"Biotech";"portal.icon.select"
"Blender";"Blender";"portal.icon.select"
"Blind";"Blind";"portal.icon.select"
"Blinds";"Blinds";"portal.icon.select"
"Blinds Closed";"BlindsClosed";"portal.icon.select"
"Block";"Block";"portal.icon.select"
"Block Flipped";"BlockFlipped";"portal.icon.select"
"Bloodtype";"Bloodtype";"portal.icon.select"
"Bluetooth";"Bluetooth";"portal.icon.select"
"Bluetooth Audio";"BluetoothAudio";"portal.icon.select"
"Bluetooth Connected";"BluetoothConnected";"portal.icon.select"
"Bluetooth Disabled";"BluetoothDisabled";"portal.icon.select"
"Bluetooth Drive";"BluetoothDrive";"portal.icon.select"
"Bluetooth Searching";"BluetoothSearching";"portal.icon.select"
"Blur Circular";"BlurCircular";"portal.icon.select"
"Blur Linear";"BlurLinear";"portal.icon.select"
"Blur Off";"BlurOff";"portal.icon.select"
"Blur On";"BlurOn";"portal.icon.select"
"Bolt";"Bolt";"portal.icon.select"
"Book";"Book";"portal.icon.select"
"Book Online";"BookOnline";"portal.icon.select"
"Bookmark";"Bookmark";"portal.icon.select"
"Bookmark Add";"BookmarkAdd";"portal.icon.select"
"Bookmark Added";"BookmarkAdded";"portal.icon.select"
"Bookmark Border";"BookmarkBorder";"portal.icon.select"
"Bookmark Remove";"BookmarkRemove";"portal.icon.select"
"Bookmarks";"Bookmarks";"portal.icon.select"
"Border All";"BorderAll";"portal.icon.select"
"Border Bottom";"BorderBottom";"portal.icon.select"
"Border Clear";"BorderClear";"portal.icon.select"
"Border Color";"BorderColor";"portal.icon.select"
"Border Horizontal";"BorderHorizontal";"portal.icon.select"
"Border Inner";"BorderInner";"portal.icon.select"
"Border Left";"BorderLeft";"portal.icon.select"
"Border Outer";"BorderOuter";"portal.icon.select"
"Border Right";"BorderRight";"portal.icon.select"
"Border Style";"BorderStyle";"portal.icon.select"
"Border Top";"BorderTop";"portal.icon.select"
"Border Vertical";"BorderVertical";"portal.icon.select"
"Boy";"Boy";"portal.icon.select"
"Branding Watermark";"BrandingWatermark";"portal.icon.select"
"Breakfast Dining";"BreakfastDining";"portal.icon.select"
"Brightness1";"Brightness1";"portal.icon.select"
"Brightness2";"Brightness2";"portal.icon.select"
"Brightness3";"Brightness3";"portal.icon.select"
"Brightness4";"Brightness4";"portal.icon.select"
"Brightness5";"Brightness5";"portal.icon.select"
"Brightness6";"Brightness6";"portal.icon.select"
"Brightness7";"Brightness7";"portal.icon.select"
"Brightness Auto";"BrightnessAuto";"portal.icon.select"
"Brightness High";"BrightnessHigh";"portal.icon.select"
"Brightness Low";"BrightnessLow";"portal.icon.select"
"Brightness Medium";"BrightnessMedium";"portal.icon.select"
"Broadcast On Home";"BroadcastOnHome";"portal.icon.select"
"Broadcast On Personal";"BroadcastOnPersonal";"portal.icon.select"
"Broken Image";"BrokenImage";"portal.icon.select"
"Browse Gallery";"BrowseGallery";"portal.icon.select"
"Browser Not Supported";"BrowserNotSupported";"portal.icon.select"
"Browser Updated";"BrowserUpdated";"portal.icon.select"
"Brunch Dining";"BrunchDining";"portal.icon.select"
"Brush";"Brush";"portal.icon.select"
"Bubble Chart";"BubbleChart";"portal.icon.select"
"Bug Report";"BugReport";"portal.icon.select"
"Build";"Build";"portal.icon.select"
"Build Circle";"BuildCircle";"portal.icon.select"
"Bungalow";"Bungalow";"portal.icon.select"
"Burst Mode";"BurstMode";"portal.icon.select"
"Bus Alert";"BusAlert";"portal.icon.select"
"Business";"Business";"portal.icon.select"
"Business Center";"BusinessCenter";"portal.icon.select"
"Cabin";"Cabin";"portal.icon.select"
"Cable";"Cable";"portal.icon.select"
"Cached";"Cached";"portal.icon.select"
"Cake";"Cake";"portal.icon.select"
"Calculate";"Calculate";"portal.icon.select"
"Calendar Month";"CalendarMonth";"portal.icon.select"
"Calendar Today";"CalendarToday";"portal.icon.select"
"Calendar View Day";"CalendarViewDay";"portal.icon.select"
"Calendar View Month";"CalendarViewMonth";"portal.icon.select"
"Calendar View Week";"CalendarViewWeek";"portal.icon.select"
"Call";"Call";"portal.icon.select"
"Call End";"CallEnd";"portal.icon.select"
"Call Made";"CallMade";"portal.icon.select"
"Call Merge";"CallMerge";"portal.icon.select"
"Call Missed";"CallMissed";"portal.icon.select"
"Call Missed Outgoing";"CallMissedOutgoing";"portal.icon.select"
"Call Received";"CallReceived";"portal.icon.select"
"Call Split";"CallSplit";"portal.icon.select"
"Call To Action";"CallToAction";"portal.icon.select"
"Camera";"Camera";"portal.icon.select"
"Camera Alt";"CameraAlt";"portal.icon.select"
"Camera Enhance";"CameraEnhance";"portal.icon.select"
"Camera Front";"CameraFront";"portal.icon.select"
"Camera Indoor";"CameraIndoor";"portal.icon.select"
"Camera Outdoor";"CameraOutdoor";"portal.icon.select"
"Camera Rear";"CameraRear";"portal.icon.select"
"Camera Roll";"CameraRoll";"portal.icon.select"
"Cameraswitch";"Cameraswitch";"portal.icon.select"
"Campaign";"Campaign";"portal.icon.select"
"Cancel";"Cancel";"portal.icon.select"
"Cancel Presentation";"CancelPresentation";"portal.icon.select"
"Cancel Schedule Send";"CancelScheduleSend";"portal.icon.select"
"Candlestick Chart";"CandlestickChart";"portal.icon.select"
"Car Crash";"CarCrash";"portal.icon.select"
"Car Rental";"CarRental";"portal.icon.select"
"Car Repair";"CarRepair";"portal.icon.select"
"Card Giftcard";"CardGiftcard";"portal.icon.select"
"Card Membership";"CardMembership";"portal.icon.select"
"Card Travel";"CardTravel";"portal.icon.select"
"Carpenter";"Carpenter";"portal.icon.select"
"Cases";"Cases";"portal.icon.select"
"Casino";"Casino";"portal.icon.select"
"Cast";"Cast";"portal.icon.select"
"Cast Connected";"CastConnected";"portal.icon.select"
"Cast For Education";"CastForEducation";"portal.icon.select"
"Castle";"Castle";"portal.icon.select"
"Catching Pokemon";"CatchingPokemon";"portal.icon.select"
"Category";"Category";"portal.icon.select"
"Celebration";"Celebration";"portal.icon.select"
"Cell Tower";"CellTower";"portal.icon.select"
"Cell Wifi";"CellWifi";"portal.icon.select"
"Center Focus Strong";"CenterFocusStrong";"portal.icon.select"
"Center Focus Weak";"CenterFocusWeak";"portal.icon.select"
"Chair";"Chair";"portal.icon.select"
"Chair Alt";"ChairAlt";"portal.icon.select"
"Chalet";"Chalet";"portal.icon.select"
"Change Circle";"ChangeCircle";"portal.icon.select"
"Change History";"ChangeHistory";"portal.icon.select"
"Charging Station";"ChargingStation";"portal.icon.select"
"Chat";"Chat";"portal.icon.select"
"Chat Bubble";"ChatBubble";"portal.icon.select"
"Chat Bubble Outline";"ChatBubbleOutline";"portal.icon.select"
"Check";"Check";"portal.icon.select"
"Check Box";"CheckBox";"portal.icon.select"
"Check Box Outline Blank";"CheckBoxOutlineBlank";"portal.icon.select"
"Check Circle";"CheckCircle";"portal.icon.select"
"Check Circle Outline";"CheckCircleOutline";"portal.icon.select"
"Checklist";"Checklist";"portal.icon.select"
"Checklist Rtl";"ChecklistRtl";"portal.icon.select"
"Checkroom";"Checkroom";"portal.icon.select"
"Chevron Left";"ChevronLeft";"portal.icon.select"
"Chevron Right";"ChevronRight";"portal.icon.select"
"Child Care";"ChildCare";"portal.icon.select"
"Child Friendly";"ChildFriendly";"portal.icon.select"
"Chrome Reader Mode";"ChromeReaderMode";"portal.icon.select"
"Church";"Church";"portal.icon.select"
"Circle";"Circle";"portal.icon.select"
"Circle Notifications";"CircleNotifications";"portal.icon.select"
"Class";"Class";"portal.icon.select"
"Clean Hands";"CleanHands";"portal.icon.select"
"Cleaning Services";"CleaningServices";"portal.icon.select"
"Clear";"Clear";"portal.icon.select"
"Clear All";"ClearAll";"portal.icon.select"
"Close";"Close";"portal.icon.select"
"Close Fullscreen";"CloseFullscreen";"portal.icon.select"
"Closed Caption";"ClosedCaption";"portal.icon.select"
"Closed Caption Disabled";"ClosedCaptionDisabled";"portal.icon.select"
"Closed Caption Off";"ClosedCaptionOff";"portal.icon.select"
"Cloud";"Cloud";"portal.icon.select"
"Cloud Circle";"CloudCircle";"portal.icon.select"
"Cloud Done";"CloudDone";"portal.icon.select"
"Cloud Download";"CloudDownload";"portal.icon.select"
"Cloud Off";"CloudOff";"portal.icon.select"
"Cloud Queue";"CloudQueue";"portal.icon.select"
"Cloud Sync";"CloudSync";"portal.icon.select"
"Cloud Upload";"CloudUpload";"portal.icon.select"
"Cloudy Snowing";"CloudySnowing";"portal.icon.select"
"Co2";"Co2";"portal.icon.select"
"Co Present";"CoPresent";"portal.icon.select"
"Code";"Code";"portal.icon.select"
"Code Off";"CodeOff";"portal.icon.select"
"Coffee";"Coffee";"portal.icon.select"
"Coffee Maker";"CoffeeMaker";"portal.icon.select"
"Collections";"Collections";"portal.icon.select"
"Collections Bookmark";"CollectionsBookmark";"portal.icon.select"
"Color Lens";"ColorLens";"portal.icon.select"
"Colorize";"Colorize";"portal.icon.select"
"Comment";"Comment";"portal.icon.select"
"Comment Bank";"CommentBank";"portal.icon.select"
"Comments Disabled";"CommentsDisabled";"portal.icon.select"
"Commit";"Commit";"portal.icon.select"
"Commute";"Commute";"portal.icon.select"
"Compare";"Compare";"portal.icon.select"
"Compare Arrows";"CompareArrows";"portal.icon.select"
"Compass Calibration";"CompassCalibration";"portal.icon.select"
"Compost";"Compost";"portal.icon.select"
"Compress";"Compress";"portal.icon.select"
"Computer";"Computer";"portal.icon.select"
"Confirmation Number";"ConfirmationNumber";"portal.icon.select"
"Connect Without Contact";"ConnectWithoutContact";"portal.icon.select"
"Connected Tv";"ConnectedTv";"portal.icon.select"
"Connecting Airports";"ConnectingAirports";"portal.icon.select"
"Construction";"Construction";"portal.icon.select"
"Contact Emergency";"ContactEmergency";"portal.icon.select"
"Contact Mail";"ContactMail";"portal.icon.select"
"Contact Page";"ContactPage";"portal.icon.select"
"Contact Phone";"ContactPhone";"portal.icon.select"
"Contact Support";"ContactSupport";"portal.icon.select"
"Contactless";"Contactless";"portal.icon.select"
"Contacts";"Contacts";"portal.icon.select"
"Content Copy";"ContentCopy";"portal.icon.select"
"Content Cut";"ContentCut";"portal.icon.select"
"Content Paste";"ContentPaste";"portal.icon.select"
"Content Paste Go";"ContentPasteGo";"portal.icon.select"
"Content Paste Off";"ContentPasteOff";"portal.icon.select"
"Content Paste Search";"ContentPasteSearch";"portal.icon.select"
"Contrast";"Contrast";"portal.icon.select"
"Control Camera";"ControlCamera";"portal.icon.select"
"Control Point";"ControlPoint";"portal.icon.select"
"Control Point Duplicate";"ControlPointDuplicate";"portal.icon.select"
"Conveyor Belt";"ConveyorBelt";"portal.icon.select"
"Cookie";"Cookie";"portal.icon.select"
"Copy All";"CopyAll";"portal.icon.select"
"Copyright";"Copyright";"portal.icon.select"
"Coronavirus";"Coronavirus";"portal.icon.select"
"Corporate Fare";"CorporateFare";"portal.icon.select"
"Cottage";"Cottage";"portal.icon.select"
"Countertops";"Countertops";"portal.icon.select"
"Create";"Create";"portal.icon.select"
"Create New Folder";"CreateNewFolder";"portal.icon.select"
"Credit Card";"CreditCard";"portal.icon.select"
"Credit Card Off";"CreditCardOff";"portal.icon.select"
"Credit Score";"CreditScore";"portal.icon.select"
"Crib";"Crib";"portal.icon.select"
"Crisis Alert";"CrisisAlert";"portal.icon.select"
"Crop";"Crop";"portal.icon.select"
"Crop169";"Crop169";"portal.icon.select"
"Crop32";"Crop32";"portal.icon.select"
"Crop54";"Crop54";"portal.icon.select"
"Crop75";"Crop75";"portal.icon.select"
"Crop Din";"CropDin";"portal.icon.select"
"Crop Free";"CropFree";"portal.icon.select"
"Crop Landscape";"CropLandscape";"portal.icon.select"
"Crop Original";"CropOriginal";"portal.icon.select"
"Crop Portrait";"CropPortrait";"portal.icon.select"
"Crop Rotate";"CropRotate";"portal.icon.select"
"Crop Square";"CropSquare";"portal.icon.select"
"Cruelty Free";"CrueltyFree";"portal.icon.select"
"Css";"Css";"portal.icon.select"
"Currency Bitcoin";"CurrencyBitcoin";"portal.icon.select"
"Currency Exchange";"CurrencyExchange";"portal.icon.select"
"Currency Franc";"CurrencyFranc";"portal.icon.select"
"Currency Lira";"CurrencyLira";"portal.icon.select"
"Currency Pound";"CurrencyPound";"portal.icon.select"
"Currency Ruble";"CurrencyRuble";"portal.icon.select"
"Currency Rupee";"CurrencyRupee";"portal.icon.select"
"Currency Yen";"CurrencyYen";"portal.icon.select"
"Currency Yuan";"CurrencyYuan";"portal.icon.select"
"Curtains";"Curtains";"portal.icon.select"
"Curtains Closed";"CurtainsClosed";"portal.icon.select"
"Cyclone";"Cyclone";"portal.icon.select"
"Dangerous";"Dangerous";"portal.icon.select"
"Dark Mode";"DarkMode";"portal.icon.select"
"Dashboard";"Dashboard";"portal.icon.select"
"Dashboard Customize";"DashboardCustomize";"portal.icon.select"
"Data Array";"DataArray";"portal.icon.select"
"Data Exploration";"DataExploration";"portal.icon.select"
"Data Object";"DataObject";"portal.icon.select"
"Data Saver Off";"DataSaverOff";"portal.icon.select"
"Data Saver On";"DataSaverOn";"portal.icon.select"
"Data Thresholding";"DataThresholding";"portal.icon.select"
"Data Usage";"DataUsage";"portal.icon.select"
"Dataset";"Dataset";"portal.icon.select"
"Dataset Linked";"DatasetLinked";"portal.icon.select"
"Date Range";"DateRange";"portal.icon.select"
"Deblur";"Deblur";"portal.icon.select"
"Deck";"Deck";"portal.icon.select"
"Dehaze";"Dehaze";"portal.icon.select"
"Delete";"Delete";"portal.icon.select"
"Delete Forever";"DeleteForever";"portal.icon.select"
"Delete Outline";"DeleteOutline";"portal.icon.select"
"Delete Sweep";"DeleteSweep";"portal.icon.select"
"Delivery Dining";"DeliveryDining";"portal.icon.select"
"Density Large";"DensityLarge";"portal.icon.select"
"Density Medium";"DensityMedium";"portal.icon.select"
"Density Small";"DensitySmall";"portal.icon.select"
"Departure Board";"DepartureBoard";"portal.icon.select"
"Description";"Description";"portal.icon.select"
"Deselect";"Deselect";"portal.icon.select"
"Design Services";"DesignServices";"portal.icon.select"
"Desk";"Desk";"portal.icon.select"
"Desktop Access Disabled";"DesktopAccessDisabled";"portal.icon.select"
"Desktop Mac";"DesktopMac";"portal.icon.select"
"Desktop Windows";"DesktopWindows";"portal.icon.select"
"Details";"Details";"portal.icon.select"
